R-squared,MAE,RMSE
0.8057728538502462,4019.4386594393727,5419.827051968045
0.8001176592628283,4062.0690856523383,5498.163838632393
0.762243005364638,4356.328333730912,5996.490017564445
0.6592736743673226,5471.979158165648,7178.493455341657
0.4468584658123076,6170.654806808574,9146.366478397033
